[i] Train : 7038
[i] Valid : 227
[i] pred_bboxes_op : Tensor("transpose:0", shape=(?, 49104, 4), dtype=float32)
[i] pred_classes_op : Tensor("RetinaNet/Sigmoid:0", shape=(?, 49104, 2), dtype=float32)
[i] gt_bboxes_var : Tensor("Placeholder_2:0", shape=(?, 49104, 4), dtype=float32)
[i] gt_classes_var : Tensor("Placeholder_3:0", shape=(?, 49104, 2), dtype=float32)
[i] max_iteration : 200000
[i] decay_iteration : [100000, 160000]
 [i] generate validation data
[i] iter : 2250, loss : 7.7314, focal_loss : 0.3205, giou_loss : 0.2224, l2_reg_loss : 7.1885, train_time : 23sec
[i] iter : 2300, loss : 7.7118, focal_loss : 0.3133, giou_loss : 0.2233, l2_reg_loss : 7.1753, train_time : 24sec
[i] iter : 2350, loss : 7.6869, focal_loss : 0.3043, giou_loss : 0.2206, l2_reg_loss : 7.1619, train_time : 23sec
[i] iter : 2400, loss : 7.6722, focal_loss : 0.3145, giou_loss : 0.2091, l2_reg_loss : 7.1486, train_time : 23sec
[i] iter : 2450, loss : 7.6600, focal_loss : 0.3076, giou_loss : 0.2171, l2_reg_loss : 7.1353, train_time : 23sec
[i] iter : 2500, loss : 7.7659, focal_loss : 0.4263, giou_loss : 0.2177, l2_reg_loss : 7.1220, train_time : 23sec
[i] iter : 2550, loss : 7.7559, focal_loss : 0.4298, giou_loss : 0.2171, l2_reg_loss : 7.1090, train_time : 23sec
[i] iter : 2600, loss : 7.7088, focal_loss : 0.3974, giou_loss : 0.2155, l2_reg_loss : 7.0959, train_time : 23sec
[i] iter : 2650, loss : 7.6156, focal_loss : 0.3192, giou_loss : 0.2136, l2_reg_loss : 7.0829, train_time : 23sec
[i] iter : 2700, loss : 7.5941, focal_loss : 0.3042, giou_loss : 0.2202, l2_reg_loss : 7.0698, train_time : 23sec
[i] iter : 2750, loss : 7.5852, focal_loss : 0.3185, giou_loss : 0.2100, l2_reg_loss : 7.0566, train_time : 22sec
[i] iter : 2800, loss : 7.5609, focal_loss : 0.3058, giou_loss : 0.2116, l2_reg_loss : 7.0435, train_time : 22sec
[i] iter : 2850, loss : 7.5325, focal_loss : 0.2898, giou_loss : 0.2124, l2_reg_loss : 7.0303, train_time : 23sec
[i] iter : 2900, loss : 7.5617, focal_loss : 0.3304, giou_loss : 0.2140, l2_reg_loss : 7.0173, train_time : 23sec
[i] iter : 2950, loss : 7.5406, focal_loss : 0.3263, giou_loss : 0.2101, l2_reg_loss : 7.0042, train_time : 23sec
[i] iter : 3000, loss : 7.4927, focal_loss : 0.2880, giou_loss : 0.2136, l2_reg_loss : 6.9911, train_time : 23sec
[i] iter : 3050, loss : 7.5283, focal_loss : 0.3429, giou_loss : 0.2074, l2_reg_loss : 6.9780, train_time : 23sec
[i] iter : 3100, loss : 7.6339, focal_loss : 0.4462, giou_loss : 0.2221, l2_reg_loss : 6.9656, train_time : 23sec
[i] iter : 3150, loss : 7.4817, focal_loss : 0.3161, giou_loss : 0.2124, l2_reg_loss : 6.9533, train_time : 23sec
[i] iter : 3200, loss : 7.4463, focal_loss : 0.2893, giou_loss : 0.2163, l2_reg_loss : 6.9407, train_time : 23sec
[i] iter : 3250, loss : 7.3997, focal_loss : 0.2674, giou_loss : 0.2043, l2_reg_loss : 6.9280, train_time : 23sec
